ID,coup_for,but_for,but_for_autre,plant_for,coup_mar,but_mar,but_mar_autre,plant_mar,coup_sec,but_sec,but_sec_autre,plant_sec,coup_jac2,but_jac2,but_jac2_autre,plant_jac2,coup_jac2a5,but_jac2a5,but_jac2a5_autre,plant_jac2a5,coup_jac5,but_jac5,but_jac5_autre,plant_jac5,coup_jac10,but_jac10,but_jac10_autre,plant_jac10
321,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
322,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,1,a bc,null,S2,null,,null,null
323,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
324,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
325,null,,null,null,null,,null,null,null,,null,null,null,,null,null,2,a bc,null,S4,null,,null,null,null,,null,null
326,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc, mais",0,,null,null,0,,null,null,0,,null,null
327,null,,null,null,null,,null,null,null,,null,null,null,,null,null,0.5,a bc,null,Manioc,null,,null,null,null,,null,null
328,0,,null,null,0,,null,null,0,,null,null,0.8,a,null,"Manioc, banane plantain, patate douce, aubergine",0,,null,null,0,,null,null,0,,null,null
329,0,,null,null,0,,null,null,0,,null,null,0.04,a,null,Manioc et patate douce,0,,null,null,0,,null,null,0,,null,null
330,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Banane, maïs, manioc",0,,null,null,0,,null,null,0,,null,null
331,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
332,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
333,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc, Mais et Patate douce",0,,null,null,0,,null,null,0,,null,null
334,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc plus Patate douce,0,,null,null,0,,null,null,0,,null,null
335,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et Mais,0,,null,null,0,,null,null,0,,null,null
336,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc, maïs",0,,null,null,0,,null,null,0,,null,null
337,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et maïs,0,,null,null,0,,null,null,0,,null,null
338,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc, maïs, patate douce, piment fort",0,,null,null,0,,null,null,0,,null,null
339,0,,null,null,0,,null,null,0,,null,null,1,a,null,Maïs et manioc,0,,null,null,0,,null,null,0,,null,null
340,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et patate douce,0,,null,null,0,,null,null,0,,null,null
341,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc,maïs",0,,null,null,0,,null,null,0,,null,null
342,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc,maïs et banane",0,,null,null,0,,null,null
343,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
344,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
345,null,,null,null,null,,null,null,null,,null,null,0.4,a bc,null,S2,null,,null,null,null,,null,null,null,,null,null
346,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et Mais,0,,null,null,0,,null,null,0,,null,null
347,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et mais,0,,null,null,0,,null,null,0,,null,null
348,null,,null,null,null,,null,null,null,,null,null,0.4,a bc,null,S2,null,,null,null,null,,null,null,null,,null,null
349,null,,null,null,null,,null,null,null,,null,null,0.5,a bc,null,S2,null,,null,null,null,,null,null,null,,null,null
350,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et Patate douce,0,,null,null,0,,null,null,0,,null,null
351,null,,null,null,null,,null,null,null,,null,null,1,a bc,null,S3,null,,null,null,null,,null,null,null,,null,null
352,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null
353,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
354,0,,null,null,0,,null,null,0,,null,null,0,,null,null,50,a,null,"Arachide,manioc et mais",0,,null,null,0,,null,null
355,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et patate douce,0,,null,null,0,,null,null,0,,null,null
356,50,a,null,Manioc et arachidr,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
357,null,,null,null,null,,null,null,null,,null,null,null,,null,null,0.5,a bc,null,Le manioc,null,,null,null,null,,null,null
358,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc, mais, patate douce et arachide",0,,null,null,0,,null,null,0,,null,null
359,0,,null,null,0,,null,null,0,,null,null,50,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
360,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et Arricots,0,,null,null,0,,null,null,0,,null,null
361,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc,0,,null,null,0,,null,null,0.5,a,null,Manioc
362,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et Mais,0,,null,null,0,,null,null,0,,null,null
363,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
364,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
365,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
366,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et mais,0,,null,null,0,,null,null
367,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc mais,0,,null,null
368,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc, mais et patate douces",0,,null,null,0,,null,null,0,,null,null
369,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
370,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc, mais et arachide",0,,null,null,0,,null,null,0,,null,null
371,0,,null,null,0,,null,null,0,,null,null,2,a,null,Manioc et Mais,0,,null,null,0,,null,null,0,,null,null
372,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null
373,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null
374,null,,null,null,null,,null,null,null,,null,null,null,,null,null,0.8,a bc,null,S2,null,,null,null,null,,null,null
375,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
376,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc, maÃ¯s, patate douce, banane plantain",0,,null,null,0,,null,null,0,,null,null
377,0,,null,null,1.5,a,null,S7,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
378,0,,null,null,0,,null,null,0,,null,null,0,,null,null,50,a,null,"Manioc,maÃ¯s et patate douce",0,,null,null,0,,null,null
379,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
380,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
