"","ID","genre","rel","etat.civil","ethnie","clan","age","edu","an_edu","occ1","occ2","naissance","nb.enfant","demo.buya","demo.deces","demo.deces_age"
"367",368,"m","c","m","b","autre",42,"p",6,"ef","a","autre",5,"2011","oui","5"
"368",369,"m","c","m","b","is",46,"p",6,"a","p","autre",6,"2000","oui","2"
"369",370,"f","c","m","b","is",44,"s",8,"a","v","buya",7,"null","oui","7"
"370",371,"m","c","m","p","autre",43,"p",2,"mo","mo","autre",3,"1997","non","null"
"371",372,"m","c","m","p","autre",44,"a",0,"mo","autre","autre",2,"2007","non","null"
"372",373,"m","c","co","b","autre",24,"s",10,"a","mo","autre",0,"2011","oui","72"
"373",374,"m","c","m","p","autre",30,"a",0,"a","p","autre",1,"1991","oui","20"
"374",375,"m","c","m","p","ek",22,"p",2,"mo","autre","autre",0,"2013","non","null"
"375",376,"m","c","m","b","ek",34,"s",8,"a","autre","autre",5,"1990","non","null"
"376",377,"m","c","m","b","ek",40,"s",12,"a","autre","autre",6,"2008","non","null"
"377",378,"m","c","m","b","ek",43,"s",3,"a","mo","autre",5,"1983","non","null"
"378",379,"m","c","d","b","ek",34,"s",11,"b","b","autre",1,"2013","non","null"
"379",380,"m","c","ce","b","ek",21,"s",5,"e","autre","autre",4,"2005","non","null"
