"","bicyclette","tv","radio","moto","generatrice","cellulaire","voiture","bateau","fusil","panneau","moulin","tronconeuse","houes","machette","tracteur","hache","boeuf","cheval"
"X109",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X110",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X111",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X112",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X113",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X114",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X115",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X116",1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"X117",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X118",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X119",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X120",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X121",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"X122",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"X123",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X124",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X126",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X127",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X128",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X129",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X130",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X131",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X132",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X133",1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"X134",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X135",1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
"X136",1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"X137",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X138",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X139",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X140",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X141",1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
"X142",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X143",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X144",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"X145",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"X147",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X148",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X149",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X150",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"X151",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X152",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"X153",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X154",1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"X155",0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
"X156",1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"X157",1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"X158",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"X159",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X161",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X162",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X164",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"X165",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X166",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X168",1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"X169",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X170",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X171",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X172",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X173",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X174",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X175",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X176",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X177",1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
"X178",0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"X179",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X180",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"X181",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X182",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X183",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"X184",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X185",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"X186",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X187",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X188",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X189",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X190",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X191",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X192",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X193",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"X194",1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"X195",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X196",1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"X197",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X198",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X199",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X200",1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
"X201",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X202",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X203",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X204",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X205",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X206",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X208",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X209",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X210",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X211",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X212",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X213",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X214",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X215",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X216",0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
"X217",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X219",1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"X220",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X221",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X222",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X223",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X224",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X225",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X226",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X227",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X228",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X229",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X230",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X231",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X232",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X233",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X234",0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0
"X235",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
"X236",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X237",0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0
"X238",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X239",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X240",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X241",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X242",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X243",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X244",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X246",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X247",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"X248",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X249",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X250",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X251",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X252",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X253",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X254",1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X255",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X257",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X258",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X259",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X261",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X262",1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"X263",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
"X264",1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"X265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X266",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X267",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X268",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X269",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X270",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X271",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"X272",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X273",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X274",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X275",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X276",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X277",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X278",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X279",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X280",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X281",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X282",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X283",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X284",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X285",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X286",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
"X287",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X288",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X289",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X290",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X291",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X292",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X293",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X294",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X295",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X296",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X297",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X298",1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"X299",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"X300",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X301",1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"X302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X303",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X304",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X305",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X306",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X307",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X308",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X310",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X311",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X312",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X313",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X314",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X315",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X316",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"X317",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X318",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"X319",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X320",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X321",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X322",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
