ID,material:end_chauf,material:autre_end_chauf,material:dist_chauf,material:droit_chauf,material:usage_chauf,material:oui_oeuvre,material:end_oeuvre,material:autre_end_oeuvre,material:dist_oeuvre,material:droit_oeuvre,material:usage_oeuvre,material:oui_charbon,material:end_charbon,material:autre_end_charbon,material:dist_charbon,material:droit_charbon,material:usage_charbon,material:oui_medicinal,material:end_medicinal,material:autre_end_medicinal,material:dist_medicinal,material:droit_medicinal,material:usage_medicinal,material:oui_viande,material:end_viande,material:autre_end_viande,material:dist_viande,material:droit_viande,material:usage_viande,material:oui_poisson,material:end_poisson,material:autre_end_poisson,material:dist_poisson,material:droit_poisson,material:usage_poisson,material:dist_eau,material:droit_eau,material:oui_Fumbwa,material:end_Fumbwa,material:autre_end_Fumbwa,material:dist_Fumbwa,material:droit_Fumbwa,material:usage_Fumbwa,material:oui_feuille,material:end_feuille,material:autre_end_feuille,material:dist_feuille,material:droit_feuille,material:usage_feuille,material:oui_emballage,material:end_emballage,material:autre_end_emballage,material:dist_emballage,material:droit_emballage,material:usage_emballage,material:oui_kola,material:end_kola,material:autre_end_kola,material:dist_kola,material:droit_kola,material:usage_kola,material:oui_chenille,material:end_chenille,material:autre_end_chenille,material:dist_chenille,material:droit_chenille,material:usage_chenille,material:oui_miel,material:end_miel,material:autre_end_miel,material:dist_miel,material:droit_miel,material:usage_miel,pfnl
168,c fp j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f d,non,,null,null,,,oui,Marecage,null,minutes30,a,f d,min30a60,a,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,oui,tout,null,min30a60,a,f v d,non,,null,null,,,"Champignons, légumes sauvages"
169,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f,oui,tout,null,plus6,a,f v,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f v,oui,tout,null,plus2,a,f v,oui,tout,null,plus4,a,f v,non,,null,null,,,"Rien, la fprey n'est plus bien"
170,c,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f,non,,null,null,,,oui,Ruisseaux,null,minutes30,a pa,f d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,pa,f v d,oui,fm,null,minutes30,a,f,oui,tout,null,plus1,a pa,f d,non,,null,null,,,"Champignons, macarons indigène, légumes sauvages"
171,c,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f d,non,,null,null,,,oui,Ruisseaux,null,minutes30,a pa,f d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f v,non,,null,null,,,oui,tout,null,min30a60,a,f d,non,,null,null,,,"Champignons, légumes sauvages, fruits sauvages"
172,c,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,minutes30,a pa,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a pa,f v d,non,,null,null,,,oui,tout,null,plus1,a pa,f v d,non,,null,null,,,Champignons
173,autre,J'utilise de braise mais de bois de chauffe,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,min30a60,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
174,c fp fs j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fp fs j fm,null,plus2,a,f v d,oui,Marécage,null,plus4,a pa,f v d,minutes30,a,oui,fp fs j fm,null,plus4,a,f v d,oui,fm,null,plus2,a,f v d,oui,fp fs j,null,plus4,a,f v d,oui,fm,null,plus2,a,f v d,oui,c fp fs j fm,null,minutes30,a pa,f v d,oui,fp fm,null,min30a60,a pa,f v d,"Champignons, igname, liane, bambou, noix de palme, fougère"
175,c fp fs j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,minutes30,a,f d,non,,null,null,,,oui,Marécage,null,plus1,a,f v d,min30a60,a,non,,null,null,,,non,,null,null,,,oui,fp fs j,null,min30a60,a,f d,oui,fp fs fm,null,plus1,a,f d,oui,c fp fs j fm,null,minutes30,a,f v d,non,,null,null,,,"Gambeya lacourtiana ( mafambu), Aframomun alboviolaceum ( tondolo), champignons"
176,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,non,,null,null,,,oui,Dans les ruissaux,null,plus6,a,f v,minutes30,a,non,,null,null,,,oui,tout,null,plus1,a,f,oui,tout,null,plus4,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Mafambu et Tondolo
177,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,fp fs j fm,null,min30a60,a,f,non,,null,null,,,non,null,null,null,,,min30a60,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Mafambu et Tondolo
