ID,material:end_chauf,material:autre_end_chauf,material:dist_chauf,material:droit_chauf,material:usage_chauf,material:oui_oeuvre,material:end_oeuvre,material:autre_end_oeuvre,material:dist_oeuvre,material:droit_oeuvre,material:usage_oeuvre,material:oui_charbon,material:end_charbon,material:autre_end_charbon,material:dist_charbon,material:droit_charbon,material:usage_charbon,material:oui_medicinal,material:end_medicinal,material:autre_end_medicinal,material:dist_medicinal,material:droit_medicinal,material:usage_medicinal,material:oui_viande,material:end_viande,material:autre_end_viande,material:dist_viande,material:droit_viande,material:usage_viande,material:oui_poisson,material:end_poisson,material:autre_end_poisson,material:dist_poisson,material:droit_poisson,material:usage_poisson,material:dist_eau,material:droit_eau,material:oui_Fumbwa,material:end_Fumbwa,material:autre_end_Fumbwa,material:dist_Fumbwa,material:droit_Fumbwa,material:usage_Fumbwa,material:oui_feuille,material:end_feuille,material:autre_end_feuille,material:dist_feuille,material:droit_feuille,material:usage_feuille,material:oui_emballage,material:end_emballage,material:autre_end_emballage,material:dist_emballage,material:droit_emballage,material:usage_emballage,material:oui_kola,material:end_kola,material:autre_end_kola,material:dist_kola,material:droit_kola,material:usage_kola,material:oui_chenille,material:end_chenille,material:autre_end_chenille,material:dist_chenille,material:droit_chenille,material:usage_chenille,material:oui_miel,material:end_miel,material:autre_end_miel,material:dist_miel,material:droit_miel,material:usage_miel,pfnl
253,c,null,min30a60,a,f d,oui,fm,null,min30a60,pa,v,oui,fp j,null,minutes30,a,f v,oui,tout,null,min30a60,a,f d,oui,fm,null,plus2,a,f v d,oui,marécages,null,plus2,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,minutes30,a,f,non,,null,null,,,oui,fp,null,plus1,a,f v d,oui,tout,null,minutes30,a pa,f,oui,fp,null,min30a60,a,f v d,"Champignons, légumes sauvages"
254,fs j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,c fs j fm,null,minutes30,a,f v d,non,,null,null,,,oui,Marécage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,c fs j fm,null,minutes30,a,f v d,non,,null,null,,,"Champignons, Igname, mbimbo( Trecula africana), bafambu ( Gambeya lacourtiana), matofe ( Landolphia obscura), noix de palme"
255,c fp fs j fm,null,min30a60,a,f d,non,,null,null,,,oui,fs fm,null,min30a60,a pa,f v d,non,,null,null,,,oui,c fp fs j fm,null,plus1,a pa,f v d,oui,Marécage,null,min30a60,a pa,f v d,minutes30,a,oui,fp fs j fm,null,min30a60,a,f v d,non,,null,null,,,oui,fp fs j,null,null,a,f v d,oui,fp fs j fm,null,plus1,a,f d,oui,fp fs j fm,null,plus2,a pa,f v d,non,,null,null,,,"Dynaste ( larve de Coléoptères), champignons"
256,j fm,null,minutes30,a,f v d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a pa,f v d,oui,fp fm,null,plus1,a pa,f v d,oui,Marécage,null,min30a60,a pa,f v d,minutes30,a pa,non,,null,null,,,oui,fm,null,min30a60,a pa,f v d,oui,fp fs j,null,min30a60,a pa,f v d,oui,fp fm,null,min30a60,a pa,f v d,oui,c fp fs j fm,null,min30a60,a pa,f v d,non,,null,null,,,"Champignons,"
257,c,null,min30a60,a pa,a v d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f v d,non,,null,null,,,oui,Eco page dans les ruisseaux et marecages,null,minutes30,a,f v d,minutes30,a,oui,j,null,minutes30,a,a v d,non,,null,null,,,oui,j,null,minutes30,a,a f v d,oui,tout,null,minutes30,a,a f v d,oui,tout,null,minutes30,a,f v d,non,,null,null,,,"Champignons, légumes sauvages, fruits sauvages, ignames sauvages"
258,c,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f v d,non,,null,null,,,non,null,null,null,,,min30a60,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,oui,j fm,null,min30a60,a,f v d,non,,null,null,,,Champignons
259,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f d,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Légumes sauvage et champignon
260,tout,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,min30a60,a,f d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
261,c fs j fm,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,oui,j fm,null,minutes30,a pa,f d,non,,null,null,,,oui,Marecage,null,min30a60,a pa,f d,minutes30,a pa,non,,null,null,,,non,,null,null,,,oui,fs j,null,plus1,a pa,f v d,non,,null,null,,,oui,c j fm,null,min30a60,a pa,f v d,non,,null,null,,,"Noix de palme, champignons, igname"
262,c,null,min30a60,a,f d,non,,null,null,,,oui,autre,Terroir du village,minutes30,a,f v d,oui,fm,null,minutes30,a,f,non,,null,null,,,oui,Marecages,null,minutes30,a,f d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f d,non,,null,null,,,oui,tout,null,min30a60,a,f v d,non,,null,null,,,"Champignons, fruits sauvages et ignames sauvages"
263,c,null,min30a60,a,f d,non,,null,null,,,oui,fp j,null,minutes30,a pa,v d,oui,tout,null,min30a60,a,f d,oui,tout,null,plus2,a,f v d,oui,Marécage et ruisseaux,null,plus1,a,f v d,min30a60,a,oui,tout,null,min30a60,a,v,oui,fm,null,plus1,a,f v,oui,j,null,plus1,pa,f v d,non,,null,null,,,oui,tout,null,plus2,a,f v d,oui,fm,null,plus1,a,f v d,"Ignames sauvages, champignons,  légumes sauvages, cordes de lianes"
264,c,null,minutes30,a pa,f d,non,,null,null,,,oui,fs j,null,minutes30,a pa,f v d,non,,null,null,,,non,,null,null,,,oui,Marecage,null,plus2,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Fruits sauvages, cordes de liannes"
265,c j,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fm,null,min30a60,a pa,f v d,oui,Marecage,null,minutes30,a pa,f v d,minutes30,a pa,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,c j fm,null,minutes30,a pa,f d,non,,null,null,,,"Champignons, igname"
266,c fp fs,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Champignons, noix de palme, igname, bambous"
267,c j fm,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,oui,Marecage,null,plus1,a,f v d,min30a60,a,non,,null,null,,,oui,fm,null,min30a60,a,f d,oui,fp,null,plus2,a,f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Lianes ,champignons et ignames sauvages"
268,c,null,plus1,pa,f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fp j fm,null,plus4,a,f v d,oui,Marecage,null,plus4,a,f v d,minutes30,c,oui,fp j fm,null,plus4,a c pa,v,oui,fm,null,plus4,a,f v,oui,j,null,plus4,c,a f v d,oui,fp j,null,plus6,c,f v d,oui,fp fm,null,plus2,a,f v d,non,,null,null,,,Non
269,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,non,,null,null,,,oui,Dans les ruisseaux de Buya 1,null,plus2,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,a,f,non,,null,null,,,oui,tout,null,plus4,a c pa,f v,non,,null,null,,,"Mboloko, pomme cetaire"
270,c,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fm,null,plus1,a,f v d,non,null,null,null,,,min30a60,a,oui,j fm,null,min30a60,a,v,oui,fm,null,plus1,a,f v,oui,j,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,plus1,a,f v d,"Chanpignons,ignames sauvages et légumes."
271,tout,null,plus2,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,non,,null,null,,,oui,Dans nos ruisseaux ici a Buya2,null,plus4,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v d,non,,null,null,,,Rien
272,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a c pa,f v,non,,null,null,,,non,null,null,null,,,min30a60,a,non,,null,null,,,oui,tout,null,plus2,a e,f v d,oui,tout,null,plus4,a,f v,non,,null,null,,,oui,tout,null,plus4,a,f v d,non,,null,null,,,Mpunga et Mafambu
273,fp fm,null,minutes30,a,f,oui,fm,null,min30a60,c,f v,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,oui,Marécage et ruisseau,null,min30a60,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fp,null,plus1,a,f,non,,null,null,,,Champignons
274,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,oui,tout,null,min30a60,a,f v,non,null,null,null,,,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f v,non,,null,null,,,non,,null,null,,,oui,fp,null,min30a60,a,f v,non,,null,null,,,Champignon
275,tout,null,minutes30,a,f,oui,fm,null,min30a60,c,f v,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage et ruisseau,null,min30a60,a,f,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,c,f,non,,null,null,,,oui,fm,null,min30a60,a,f,non,,null,null,,,Champignon
276,c j,null,min30a60,a pa,f d,non,,null,null,,,oui,fs j fm,null,min30a60,a pa,f v d,oui,j fm,null,minutes30,a pa,f v d,non,,null,null,,,oui,Marécage,null,minutes30,a pa,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f v d,oui,j,null,min30a60,a,f v d,non,,null,null,,,oui,c fp fs j fm,null,minutes30,a pa,f v d,non,,null,null,,,"Nkekele ( rotin ), makombo ( champignons), matofe ( Landolphi  obscur ), mboma ( igname)"
277,c,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
278,c j,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,oui,c fs j fm,null,minutes30,a,f d,non,,null,null,,,oui,Marécage,null,plus2,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a pa,f v d,oui,c j fm,null,plus1,a,f d,oui,c j fm,null,minutes30,a pa,f v d,non,,null,null,,,"Serpent, champignons, mbole ( Aframomum alboviolaceum)"
279,c j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,j fm,null,plus1,a,f d,non,,null,null,,,oui,Marécage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,oui,c j fm,null,minutes30,a,f d,non,,null,null,,,"Bebwo( champion), moma ( igname), liane, bekombe( bambou)"
280,tout,null,min30a60,a,f d,oui,fm,null,min30a60,c pa pp,f v,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,min30a60,a,f v d,minutes30,a,oui,j fm,null,min30a60,a,a v,oui,fm,null,min30a60,a,f v d,oui,j,null,min30a60,c pa,f v d,non,,null,null,,,oui,j fm,null,plus2,a,f v d,non,,null,null,,,"Champignons ,lianes ,ignames sauvages et legumes"
281,tout,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
282,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,null,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,oui,fm,null,min30a60,a,f,non,,null,null,,,Champignons
283,j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fp j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignon
284,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f,oui,tout,null,min30a60,a,f,non,,null,null,,,oui,j,null,min30a60,a,f,non,,null,null,,,Champignons
285,c,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f d,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f d,non,,null,null,,,"Champignons, cordes de lianes, légumes sauvages"
286,c j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,plus1,a,f d,oui,fm,null,plus2,a,f v d,oui,Marecages,null,plus1,a,f v d,minutes30,a,oui,fm,null,plus1,a,v,oui,fm,null,min30a60,a,f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fm,null,plus2,a,f v d,"Cordes de lianes, champignons, ignames sauvages, légumes sauvages"
287,tout,null,minutes30,a,f,oui,fm,null,plus1,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f,non,,null,null,,,oui,Dans les ruisseaux de Buya 1,null,plus1,a,f v,minutes30,a,oui,tout,null,plus1,a,f v,oui,tout,null,plus1,a,f v,oui,tout,null,plus4,a pa,f v,oui,tout,null,plus2,a,f v,oui,tout,null,plus4,a pa pp,f v,oui,tout,null,plus2,a,f v,"Nzoloko,"
288,c,null,plus1,a pa,f d,oui,fm,null,plus1,pa,f v,non,,null,null,,,non,,null,null,,,oui,fm,null,plus2,a,f v d,oui,Marecages,null,plus2,a,f v d,min30a60,a,non,,null,null,,,oui,fm,null,plus1,a,f v,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v d,non,,null,null,,,"Champignons, cordes de lianes"
289,tout,null,plus2,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,non,,null,null,,,oui,Dans la foret marecageuse,null,plus6,a,f v,min30a60,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f,non,,null,null,,,oui,j,null,plus2,a,f v,oui,j,null,plus2,a,f,Rien
290,tout,null,plus2,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,oui,fm,null,plus4,a,f v,oui,Dans les ruisseaux,null,plus2,a,f v,minutes30,a,oui,tout,null,plus2,a,f v,oui,fm,null,plus4,a,f v,oui,tout,null,plus6,a,f v,oui,tout,null,plus1,a,f v,oui,tout,null,plus2,a,f v,oui,tout,null,plus4,a,f v,"Igname, Matofe, Massendja"
291,c,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,plus1,a,f d,non,,null,null,,,oui,Marecage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f v d,oui,j,null,plus2,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignons
292,c j fm,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,j fm,null,minutes30,a,f d,non,,null,null,,,oui,Marécage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fs j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Noix de palme, champignon, ketsu ( Piper nigrum), igname"
293,c,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,plus2,a,f,non,,null,null,,,oui,Ruisseaux/,null,plus2,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,,f v d,oui,j,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignons et cordes de liannes
294,c j fm,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,min30a60,a pa,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a pa,f d,non,,null,null,,,oui,c j fm,null,minutes30,a pa,f d,non,,null,null,,,"Champignons, lianes, ignames"
295,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Champignons, cordes de lianes, le grumes sauvages, ignames sauvages"
296,c j fm,null,min30a60,a pa,f d,non,,null,null,,,oui,fs fm,null,plus1,a pa,f v d,non,,null,null,,,non,,null,null,,,oui,Marécage,null,min30a60,a pa,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f d,oui,j,null,min30a60,a pa,f d,oui,fs fm,null,plus1,a pa,f v d,oui,c fp j fm,null,plus1,a pa,f v d,non,,null,null,,,"Mpunga,mbila,matofe,mbole"
297,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f v,oui,fm,null,plus1,a,f v,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Liane et champignons
298,tout,null,min30a60,a,f,non,,null,null,,,oui,fp tout,null,min30a60,a,f v,oui,fm,null,minutes30,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f,oui,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignons
299,j,null,min30a60,a,f,non,,null,null,,,oui,j,null,plus2,a pa,f v,oui,tout,null,plus1,a,f v,non,,null,null,,,oui,Dans le ruisseaux de Buya 1,null,plus4,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v d,oui,tout,null,plus1,a,f v,Rien
300,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,a,f,non,,null,null,,,oui,Dans les ruisseaux de Buya 1,null,min30a60,a,f v,minutes30,a c,non,,null,null,,,non,,null,null,,,oui,j,null,plus4,a,f v,non,,null,null,,,oui,tout,null,plus1,a,f v d,non,,null,null,,,RAS
301,fp tout,null,minutes30,a,f,non,,null,null,,,oui,tout,null,min30a60,a,f v,oui,tout,null,min30a60,a,f v,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignon
302,c j fm,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f d,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,Champignon
303,c fm,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,plus4,c,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus4,a c,f v,oui,autre,Forêt sacré,minutes30,a,f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
304,c,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Les fruits et champignons.
305,j,null,plus1,pp,f,non,,null,null,,,oui,j,null,plus1,pp,f v,oui,tout,null,plus1,a,f,oui,fm,null,plus4,a,f v,oui,Dans la foret mareccageuse,null,plus4,a,f v,minutes30,a c,non,,null,null,,,oui,fm,null,plus1,a,f,oui,j,null,plus4,a,f v,non,,null,null,,,oui,j,null,plus4,a,f v,oui,fm,null,plus2,a,f v,"Ngadiada,"
306,j,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,non,,null,null,,,oui,Dans la foret marécageuse,null,plus4,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j autre,null,plus4,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,"Les Ignames sauvages, ..."
307,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,min30a60,a,f d,oui,fm,null,plus2,a,f v d,oui,Marecage,null,plus2,a,f v d,minutes30,a,oui,fp fs j fm,null,minutes30,a,v,oui,fm,null,plus2,a,f v,oui,j,null,minutes30,a,f v d,non,,null,null,,,oui,fp,null,plus2,a,f v d,oui,fm,null,plus2,a,f v d,"Champignons, légumes sauvages"
308,j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,oui,Dans la foret marecageuse,null,plus4,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Rien
309,j,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f d,oui,fm,null,plus1,a,f v d,oui,Marecages,null,plus1,a,f d,minutes30,a,oui,tout,null,minutes30,a,v,oui,fm,null,plus1,a,f v,oui,j,null,minutes30,a,f v d,non,,null,null,,,oui,tout,null,minutes30,a,f v d,oui,tout,null,minutes30,a,f v d,"Champignons, cordes de lianes, légumes sauvages, treculia africana(mbimbo)"
310,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,oui,fm,null,plus10,a,f v,oui,Foret Marecageuse,null,plus4,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f v d,oui,tout,null,plus2,a,f v,oui,tout,null,plus2,a,f v,oui,tout,null,plus4,a,f v d,null
311,c j,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,min30a60,a pa,f v d,min30a60,a pa,oui,fs fm,null,plus1,a pa,v d,oui,fm,null,plus1,a,f v d,oui,fs j,null,minutes30,a pa,f v d,non,,null,null,,,oui,c fp fs j fm,null,minutes30,a pa,f v d,non,,null,null,,,"Champignons, dynaste, igname"
312,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f d,oui,fp,null,min30a60,a,f v d,oui,Marais,null,min30a60,a,f v d,min30a60,a,oui,fm,null,min30a60,a,v,oui,fm,null,min30a60,a,f v,oui,j,null,min30a60,a,f v d,oui,j,null,min30a60,a,f v d,oui,tout,null,min30a60,a,f v d,oui,tout,null,min30a60,a,f v d,"Champignons, ignames sauvages"
313,c fp fs j fm,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,oui,c j,null,minutes30,a,f d,oui,fm,null,plus1,a pa,f v d,oui,Marecage,null,min30a60,a pa,f d,min30a60,a pa,oui,fs j fm,null,plus1,a pa,v d,oui,fm,null,plus2,a pa,f v d,oui,j,null,minutes30,a pa,f v d,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a pa,f v d,oui,fm,null,plus1,a pa,f v d,"Champignons, ndjendje, igname, fougères"
314,c j,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fs j fm,null,plus4,a pa,f v d,oui,Marécage,null,plus2,a pa,f v d,min30a60,a pa,non,,null,null,,,non,,null,null,,,oui,c fs j,null,plus2,a pa,f v d,oui,fs fm,null,plus2,c pa,f v d,non,,null,null,,,non,,null,null,,,"Champignons, igname"
315,c,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
316,j,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f v,non,,null,null,,,oui,tout,null,minutes30,a,f v,non,,null,null,,,Champignons
317,tout,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,plus1,a,f d,non,,null,null,,,oui,Marecage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f d,non,,null,null,,,oui,j fm,null,minutes30,a,f d,non,,null,null,,,Non
318,j,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f v,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,Champignon
319,c,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,j fm,null,plus1,a,f v d,oui,Marecage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f v d,oui,j,null,plus1,a,f v d,oui,j,null,minutes30,a,f v d,oui,j,null,plus1,a,f v d,oui,fm,null,plus2,a,f v d,"Champignons,fougères, legumes"
320,j,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Champignon
321,j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,pa,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignon
322,c,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fp j fm,null,minutes30,a,f v d,non,,null,null,,,Non
323,c j,null,min30a60,a pa,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,pa,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignons
324,j fm,null,minutes30,a pa,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a pa,f d,non,,null,null,,,oui,tout,null,minutes30,a pa,f,non,,null,null,,,Champignon
325,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f d,oui,j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignons.
